Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Lufenuron, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Lufenuron, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Banned Pesticide Residue,"Methomyl, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Methomyl, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Milbemectin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Milbemectin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Monocrotophos, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Monocrotophos, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Myclobutanil, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Myclobutanil, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Novaluron, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Novaluron, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Oxydemeton methyl, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Oxydemeton methyl, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Pendimethalin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Pendimethalin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Picoxystrobin, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Picoxystrobin, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Propargite, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Propargite, mg/kg",,,,,,,
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Propineb, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,No,0,10000,0,0.1,0,0.005,1000,No,,"Herbs, Spices & Condiments Black Pepper Whole Propineb, mg/kg",,,,,,,
